block,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15,node16,node17,node18,node19,node20,node21
75,1419.2640,647.6499,528.1129,539.4974,522.4207,566.0612,543.2922,556.5741,549.6169,565.4287,559.7365,556.5741,550.2494,559.7365,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,507.2414
76,2414.7727,647.6499,528.1129,539.4974,522.4207,566.0612,543.2922,556.5741,549.6169,565.4287,559.7365,556.5741,550.2494,559.7365,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,507.2414
77,2414.7727,922.7746,528.1129,539.4974,522.4207,566.0612,543.2922,556.5741,549.6169,565.4287,559.7365,556.5741,550.2494,559.7365,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,507.2414
78,2414.7727,922.7746,665.9915,539.4974,522.4207,566.0612,543.2922,556.5741,549.6169,565.4287,559.7365,556.5741,550.2494,559.7365,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,507.2414
79,2414.7727,922.7746,665.9915,667.8889,522.4207,566.0612,543.2922,556.5741,549.6169,565.4287,559.7365,556.5741,550.2494,559.7365,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,507.2414
80,2414.7727,922.7746,665.9915,667.8889,667.8889,566.0612,543.2922,556.5741,549.6169,565.4287,559.7365,556.5741,550.2494,559.7365,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,507.2414
81,2414.7727,922.7746,665.9915,667.8889,667.8889,698.8800,543.2922,556.5741,549.6169,565.4287,559.7365,556.5741,550.2494,559.7365,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,507.2414
82,2414.7727,922.7746,665.9915,667.8889,667.8889,698.8800,693.8202,556.5741,549.6169,565.4287,559.7365,556.5741,550.2494,559.7365,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,507.2414
83,2414.7727,922.7746,665.9915,667.8889,667.8889,698.8800,693.8202,681.8033,549.6169,565.4287,559.7365,556.5741,550.2494,559.7365,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,507.2414
84,2414.7727,922.7746,665.9915,667.8889,667.8889,698.8800,693.8202,681.8033,698.2475,565.4287,559.7365,556.5741,550.2494,559.7365,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,507.2414
85,2414.7727,922.7746,665.9915,667.8889,667.8889,698.8800,693.8202,681.8033,698.2475,698.2475,559.7365,556.5741,550.2494,559.7365,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,507.2414
86,2414.7727,922.7746,665.9915,667.8889,667.8889,698.8800,693.8202,681.8033,698.2475,698.2475,698.8800,556.5741,550.2494,559.7365,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,507.2414
87,2414.7727,922.7746,665.9915,667.8889,667.8889,698.8800,693.8202,681.8033,698.2475,698.2475,698.8800,681.8033,550.2494,559.7365,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,507.2414
88,2414.7727,922.7746,665.9915,667.8889,667.8889,698.8800,693.8202,681.8033,698.2475,698.2475,698.8800,681.8033,702.6748,559.7365,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,507.2414
89,2414.7727,922.7746,665.9915,667.8889,667.8889,698.8800,693.8202,681.8033,698.2475,698.2475,698.8800,681.8033,702.6748,704.5722,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,507.2414
90,2414.7727,922.7746,665.9915,667.8889,667.8889,698.8800,693.8202,681.8033,698.2475,698.2475,698.8800,681.8033,702.6748,704.5722,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,627.4108
91,3438.1101,922.7746,665.9915,667.8889,667.8889,698.8800,693.8202,681.8033,698.2475,698.2475,698.8800,681.8033,702.6748,704.5722,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,627.4108
92,3438.1101,1171.9680,665.9915,667.8889,667.8889,698.8800,693.8202,681.8033,698.2475,698.2475,698.8800,681.8033,702.6748,704.5722,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,627.4108
93,3438.1101,1171.9680,805.1351,667.8889,667.8889,698.8800,693.8202,681.8033,698.2475,698.2475,698.8800,681.8033,702.6748,704.5722,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,627.4108
94,3438.1101,1171.9680,805.1351,795.6480,667.8889,698.8800,693.8202,681.8033,698.2475,698.2475,698.8800,681.8033,702.6748,704.5722,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,627.4108
95,3438.1101,1171.9680,805.1351,795.6480,811.4598,698.8800,693.8202,681.8033,698.2475,698.2475,698.8800,681.8033,702.6748,704.5722,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,627.4108
96,3438.1101,1171.9680,805.1351,795.6480,811.4598,834.2287,693.8202,681.8033,698.2475,698.2475,698.8800,681.8033,702.6748,704.5722,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,627.4108
97,3438.1101,1171.9680,805.1351,795.6480,811.4598,834.2287,829.8014,681.8033,698.2475,698.2475,698.8800,681.8033,702.6748,704.5722,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,627.4108
98,3438.1101,1171.9680,805.1351,795.6480,811.4598,834.2287,829.8014,834.8612,698.2475,698.2475,698.8800,681.8033,702.6748,704.5722,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,627.4108
99,3438.1101,1171.9680,805.1351,795.6480,811.4598,834.2287,829.8014,834.8612,831.0664,698.2475,698.8800,681.8033,702.6748,704.5722,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,627.4108
100,3438.1101,1171.9680,805.1351,795.6480,811.4598,834.2287,829.8014,834.8612,831.0664,833.5962,698.8800,681.8033,702.6748,704.5722,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,627.4108
101,3438.1101,1171.9680,805.1351,795.6480,811.4598,834.2287,829.8014,834.8612,831.0664,833.5962,838.0235,681.8033,702.6748,704.5722,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,627.4108
102,3438.1101,1171.9680,805.1351,795.6480,811.4598,834.2287,829.8014,834.8612,831.0664,833.5962,838.0235,820.9468,702.6748,704.5722,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,627.4108
103,3438.1101,1171.9680,805.1351,795.6480,811.4598,834.2287,829.8014,834.8612,831.0664,833.5962,838.0235,820.9468,841.1859,704.5722,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,627.4108
104,3438.1101,1171.9680,805.1351,795.6480,811.4598,834.2287,829.8014,834.8612,831.0664,833.5962,838.0235,820.9468,841.1859,833.5962,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,627.4108
105,3438.1101,1171.9680,805.1351,795.6480,811.4598,834.2287,829.8014,834.8612,831.0664,833.5962,838.0235,820.9468,841.1859,833.5962,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,748.8452
106,4519.0024,1171.9680,805.1351,795.6480,811.4598,834.2287,829.8014,834.8612,831.0664,833.5962,838.0235,820.9468,841.1859,833.5962,283.9793,280.8169,269.4325,287.7741,252.3558,316.8678,269.4325,748.8452
