block,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15,node16,node17,node18,node19,node20,node21
97,796.2805,251.0908,675.4786,293.4664,251.0908,242.8687,443.3619,501.5492,1031.5595,712.1619,1261.7788,786.1609,745.6828,388.3369,382.0122,457.9087,275.1247,420.5929,623.6160,1037.8842,576.1807,467.3958
98,796.2805,251.0908,675.4786,293.4664,251.0908,242.8687,588.8301,501.5492,1031.5595,712.1619,1261.7788,786.1609,745.6828,388.3369,382.0122,457.9087,275.1247,420.5929,623.6160,1037.8842,576.1807,467.3958
99,796.2805,251.0908,675.4786,426.9176,251.0908,242.8687,588.8301,501.5492,1031.5595,712.1619,1261.7788,786.1609,745.6828,388.3369,382.0122,457.9087,275.1247,420.5929,623.6160,1037.8842,576.1807,467.3958
100,796.2805,251.0908,675.4786,426.9176,251.0908,242.8687,588.8301,630.5732,1031.5595,712.1619,1261.7788,786.1609,745.6828,388.3369,382.0122,457.9087,275.1247,420.5929,623.6160,1037.8842,576.1807,467.3958
101,796.2805,251.0908,675.4786,426.9176,251.0908,242.8687,588.8301,630.5732,1031.5595,712.1619,1261.7788,786.1609,879.1341,388.3369,382.0122,457.9087,275.1247,420.5929,623.6160,1037.8842,576.1807,467.3958
102,796.2805,251.0908,675.4786,426.9176,251.0908,242.8687,588.8301,630.5732,1031.5595,712.1619,1261.7788,786.1609,879.1341,388.3369,497.7544,457.9087,275.1247,420.5929,623.6160,1037.8842,576.1807,467.3958
103,796.2805,251.0908,675.4786,426.9176,251.0908,242.8687,588.8301,630.5732,1031.5595,887.9887,1261.7788,786.1609,879.1341,388.3369,497.7544,457.9087,275.1247,420.5929,623.6160,1037.8842,576.1807,467.3958
104,796.2805,251.0908,675.4786,426.9176,251.0908,242.8687,588.8301,630.5732,1031.5595,887.9887,1261.7788,786.1609,879.1341,388.3369,497.7544,457.9087,275.1247,420.5929,623.6160,1037.8842,576.1807,467.3958
105,796.2805,507.2414,675.4786,426.9176,251.0908,242.8687,588.8301,630.5732,1031.5595,887.9887,1261.7788,786.1609,879.1341,388.3369,497.7544,457.9087,275.1247,420.5929,623.6160,1037.8842,576.1807,467.3958
106,796.2805,507.2414,675.4786,426.9176,251.0908,242.8687,588.8301,630.5732,1147.3016,887.9887,1261.7788,786.1609,879.1341,388.3369,497.7544,457.9087,275.1247,420.5929,623.6160,1037.8842,576.1807,467.3958
107,796.2805,507.2414,675.4786,426.9176,251.0908,242.8687,588.8301,630.5732,1147.3016,887.9887,1261.7788,786.1609,879.1341,509.1388,497.7544,457.9087,275.1247,420.5929,623.6160,1037.8842,576.1807,467.3958
108,796.2805,507.2414,675.4786,426.9176,251.0908,242.8687,588.8301,630.5732,1147.3016,887.9887,1261.7788,786.1609,879.1341,509.1388,497.7544,457.9087,275.1247,420.5929,901.2706,1037.8842,576.1807,467.3958
109,796.2805,507.2414,675.4786,536.9675,251.0908,242.8687,588.8301,630.5732,1147.3016,887.9887,1261.7788,786.1609,879.1341,509.1388,497.7544,457.9087,275.1247,420.5929,901.2706,1037.8842,576.1807,467.3958
110,796.2805,507.2414,675.4786,656.5045,251.0908,242.8687,588.8301,630.5732,1147.3016,887.9887,1261.7788,786.1609,879.1341,509.1388,497.7544,457.9087,275.1247,420.5929,901.2706,1037.8842,576.1807,467.3958
111,796.2805,507.2414,675.4786,656.5045,251.0908,242.8687,588.8301,630.5732,1147.3016,887.9887,1261.7788,786.1609,879.1341,509.1388,497.7544,573.6508,275.1247,420.5929,901.2706,1037.8842,576.1807,467.3958
112,796.2805,507.2414,675.4786,656.5045,251.0908,242.8687,588.8301,630.5732,1147.3016,887.9887,1261.7788,786.1609,879.1341,628.6758,497.7544,573.6508,275.1247,420.5929,901.2706,1037.8842,576.1807,467.3958
